,Unnamed: 0,date,headline,sentiment
0,0,2018-04-30,UNICEF Creates Website for Charity Crypto Mining ,-0.1
1,1,2018-04-30,Circle Invest Adds Zcash (ZEC) to List of Offerings on App ,-0.3
2,2,2018-04-30,Cryptocurrency Market Remains Robust Despite Warren Buffett Criticism ,0.7
3,3,2018-04-30,Warren Buffett on Bitcoin (BTC): Bitcoin is a Gamble ,0.0
4,4,2018-04-30,William Mougayar to Launch Investment Firm to Fund Blockchain Projects ,-0.1
5,5,2018-04-30,Cardano Overtakes Litecoin’s: Pos Algorithm is Solved ,0.7
6,6,2018-04-30,"TRON (TRX), EOS, and Cardano (ADA): What Happened? ",-0.6
7,7,2018-04-30,"BitShares (BTS) and Lisk (LSK): Big News, Big Gains ",0.7
8,8,2018-04-27,"EOS, TRON (TRX), and Stellar (XLM): We Have Liftoff! ",0.8
9,9,2018-04-26,The Craziest Bitcoin Predictions for 2018 ,0.3
10,10,2018-04-26,Should Deutsche Bank Become a Crypto Exchange? This Analyst Says Yes. ,0.0
11,11,2018-04-26,Bithumb to List Kyber Network and OmiseGo – Good Idea? ,0.4
12,12,2018-04-26,"Verge (XVG), Stellar (XLM), Cardano (ADA): When You’re Up, You’re Up ",0.8
13,13,2018-04-26,Fundstrat Poll Shows Investors Believe in Bitcoin ,0.3
14,14,2018-04-25,U.S. Exchanges Carve a Niche in Crypto – Is This a Good Thing? ,0.7
15,15,2018-04-25,Winklevoss Twins Partner with Nasdaq for Crypto Monitoring ,0.0
16,16,2018-04-25,Daniel Masters: Cryptocurrencies ARE the Future ,0.0
17,17,2018-04-25,"Ripple (XRP), IOTA (MITOA), and NEO: Down, Down, Down ",-0.2
18,18,2018-04-25,Ethereum Smart Contract Bug Causes Suspension of ERC20 Deposits ,-0.7
19,19,2018-04-24,MIT Unveiled a Plan to Destroy Bitcoin (BTC) ,0.2
20,20,2018-04-24,Martin Lewis Files Lawsuit Against Facebook Over Crypto Scams ,-0.9
21,21,2018-04-24,Cryptocurrency Market Surpass $420 Billion As Altcoins Shine ,0.3
22,22,2018-04-24,"EOS and TRON (TRX): New Listings, New Updates ",-0.3
23,23,2018-04-23,Yoshitaka Kitao Expects Ripple to Reach $10 by Year End ,-0.3
24,24,2018-04-23,Shift Card is Accepted at 38 Million Merchants Worldwide ,0.1
25,25,2018-04-23,Litecoin Recovers from LitePay’s Hard Hit ,0.0
26,26,2018-04-23,"Litecoin (LTC) and TRON (TRX): Big News, Big Progress ",0.5
27,27,2018-04-23,Bitcoin to be Bigger than the Internet? Tim Draper Thinks So ,0.0
28,28,2018-04-23,Coinbase has Blocked WikiLeaks: A Controversy has Kicked Off ,-0.8
29,29,2018-04-23,Sending $100M on the Litecoin Blockchain Took 2.5 Minutes ,-0.3
30,30,2018-04-23,JPMorgan Tests Blockchain Platform to Help Debt Issuance Process ,0.4
31,31,2018-04-20,Asian Authorities Stop Two Crypto Scams ,-0.5
32,32,2018-04-20,Crypto Markets Continue the Upswing – What are People Saying? ,-0.4
33,33,2018-04-20,"Ripple (XRP), EOS, and IOTA (MIOTA): Ending the Week Strong ",0.0
34,34,2018-04-19,IBM and Bank of Montreal (BMO) Finally Launch Live Blockchain Payment Pilot ,0.2
35,35,2018-04-19,"Cardano (ADA), IOTA (MIOTA), and Monero (XMR): Continue to Grow ",0.2
36,36,2018-04-18,"Verge (XVG), Dash, and Lisk (LSK): Spring has Sprung? ",0.0
37,37,2018-04-18,"Verge Price Collapse, But Monero Coin Soars ",0.4
38,38,2018-04-18,Bitcoin Price: Bitcoin Continues to Flirt with the $8000 Mark ,0.0
39,39,2018-04-17,Pornhub Accepting Verge (XVG)- The People Have Spoken ,0.4
40,40,2018-04-17,"EOS, Litecoin (LTC), and Stellar (XLM): Shifting Back into the Green ",0.7
41,41,2018-04-17,Crypto Exchange Kraken Closes Doors to Japan ,-0.1
42,42,2018-04-16,Brian Kelly Predicts Huge Growth For Bitcoin ,0.5
43,43,2018-04-16,Three Former Google Employees Create Blockchain Community ,-0.5
44,44,2018-04-16,"The Crypto Markets are Down, But People Aren’t Worried – Here’s Why ",0.0
45,45,2018-04-16,Cryptocurrencies for Kids: A New Business Opportunity On The Crypto Sphere ,0.8
46,46,2018-04-16,"Ripple (XRP), TRON (TRX), and Lisk (LSK): Struggling to Resurface ",-0.4
47,47,2018-04-16,"Despite the Risks – Crypto is Popular in Russia, New Study Finds ",0.8
48,48,2018-04-16,Samsung Electronics Co is Now Exploring Blockchain Technology for Global Shipments ,0.3
49,49,2018-04-16,MasterCard Blockchain: Payment Solutions and Fake IDs ,-0.9
50,50,2018-04-16,Bitcoin at 250k? Another Expert Supports This Prediction ,0.4
51,51,2018-04-13,Green Earth Tokens: Save the Rainforest with Crypto ,0.1
52,52,2018-04-13,Mason County in Washington Halts Crypto Mining Projects ,0.0
53,53,2018-04-13,Crypto Risks: The Central Bank of Kenya Joins Conversation ,0.0
54,54,2018-04-13,Crypto Taxes – Credit Karma Reports 0.04% of Users Reported Cryptocurrency to IRS ,-0.7
55,55,2018-04-13,Crypto Trading App BISON Launches in September – Here’s What to Expect ,0.1
56,56,2018-04-13,Latest Bitcoin Scandal – What Happened in Singapore? ,-0.5
57,57,2018-04-13,"Ripple (XRP), EOS, and Cardano (ADA): Here’s the Update ",0.1
58,58,2018-04-13,Can Blockchain Help the Data Crisis? Not Likely – Here’s Why ,-0.4
59,59,2018-04-13,"Bitcoin (BTC) to Reach $250,000 by 2022, says Billionaire Tim Draper ",0.0
60,60,2018-04-13,"Coinsecure Crypto Exchange Loses $3.5 Million, Blames Security Chief ",-0.1
61,61,2018-04-12,The Blockchain Community is Changing the World ,0.0
62,62,2018-04-12,Cryptocurrency Markets Are Likely To Increase – Data Shows ,0.0
63,63,2018-04-12,"Bitcoin (BTC) to Hit $25,000? Crypto Bull Thomas Lee Thinks So ",0.0
64,64,2018-04-12,OKEx Team Follows Binance’s And Announce They Will Move to Malta Too ,0.2
65,65,2018-04-12,"Coins to Buy: EOS, Cardano [ADA], and Tron [TRX] ",0.3
66,66,2018-04-12,"Verge (XVG), Stellar (XLM), and EOS: Here’s What’s Happening ",0.7
67,67,2018-04-12,"Ripple (XRP), Cardano (ADA), & DASH Uptrend – Time to Buy? ",0.0
68,68,2018-04-12,Bittrex Exchange is Now Accepting New Investors – Again ,0.0
69,69,2018-04-12,Indian Crypto Exchanges Consider Relocating in Response to Indian Crypto Ban ,-0.1
